prompt,label
What’s my most played playlist?,user_playlist
Delete a playlist I made.,user_playlist
Rename my chill playlist.,user_playlist
Share my top playlist.,user_playlist
Sort my playlists by name.,user_playlist
Merge two playlists.,user_playlist
Show my collaborative playlists.,user_playlist
What’s in my jazz playlist?,user_playlist
Recommend tracks for my playlist.,user_playlist
Get the cover of my playlist.,user_playlist
How many playlists have I created?,user_playlist
Duplicate a playlist.,user_playlist
Edit my sleep playlist.,user_playlist
List playlists I liked.,user_playlist
Add album to playlist.,user_playlist
Show me featured playlists.,featured_playlist
What are Spotify’s top playlists?,featured_playlist
Any trending playlists today?,featured_playlist
Give me curated playlists.,featured_playlist
What’s Spotify promoting now?,featured_playlist
Show me editor picks.,featured_playlist
Top charts playlists?,featured_playlist
Recommend a featured playlist.,featured_playlist
Any good mood playlists?,featured_playlist
What are popular playlists right now?,featured_playlist
What’s in the Discover Weekly?,featured_playlist
Explore today’s featured mixes.,featured_playlist
What’s this week’s spotlight playlist?,featured_playlist
Show Afrobeat featured playlists.,featured_playlist
Give me party playlists from Spotify.,featured_playlist
Browse global top playlists.,featured_playlist
Give me new featured releases.,featured_playlist
What’s hot on Spotify now?,featured_playlist
Any chill featured playlists?,featured_playlist
Give me Spotify’s latest playlists.,featured_playlist
What podcasts have I saved?,user_saved_shows
List my saved shows.,user_saved_shows
What shows do I follow?,user_saved_shows
Show podcasts I subscribed to.,user_saved_shows
Do I follow The Daily?,user_saved_shows
What’s the latest episode from my shows?,user_saved_shows
Add this show to my library.,user_saved_shows
Remove a podcast from my shows.,user_saved_shows
List my comedy podcasts.,user_saved_shows
What podcasts am I subscribed to?,user_saved_shows
Give me my podcast library.,user_saved_shows
Do I have news podcasts saved?,user_saved_shows
What’s the newest show I added?,user_saved_shows
Resume a show I saved.,user_saved_shows
Search inside my saved podcasts.,user_saved_shows
What’s trending in my shows?,user_saved_shows
Are there shows I haven’t listened to yet?,user_saved_shows
Show my complete podcast list.,user_saved_shows
Play the first episode of a show I saved.,user_saved_shows
Recommend shows from my saved ones.,user_saved_shows
